Year,id,Country Name,lnTHE,lnNCDs,lnSFI,lnIWR,lnOD,OD,THE
2000,56,Lebanon,1.493095724,4.396915247,4.415219602,4.450852826,-4.605170186,0.01,579.0298543
2012,56,Lebanon,1.524994838,4.441474093,4.390738575,4.59511985,-1.609437912,0.2,626.0864221
2000,57,Lesotho,1.474636651,3.206803244,3.173878459,4.369447852,3.826465117,45.9,28.73070266
2012,57,Lesotho,1.480903215,3.288401888,3.377587516,4.396915247,3.543853682,34.6,129.1489913
2000,58,Liberia,1.419140297,3.117949906,2.57261223,4.133565275,3.852273001,47.1,10.8176621
2012,58,Liberia,1.456074272,3.529297384,2.778819272,4.289088639,3.862832761,47.59999999,42.15033701
2000,59,Madagascar,1.291320319,3.437207819,2.332143895,3.63758616,3.850147602,47.00000001,12.512631
2012,59,Madagascar,1.357297751,3.671224519,2.451005098,3.88567903,3.7208625,41.3,15.37880833
2000,60,Malawi,1.419527607,2.734367509,3.535145354,4.135166557,2.93385687,18.8,9.454614224
2012,60,Malawi,1.490455168,3.325036021,3.681351188,4.439115602,1.960094784,7.1,32.56114955
2000,61,Malaysia,1.513886474,4.271095074,4.513054897,4.544358047,0.693147181,2.000000001,121.6186802
2012,61,Malaysia,1.522560319,4.290459441,4.563305982,4.58394655,-4.605170186,0.01,421.5101261
2000,62,Mali,1.345889087,3.226843995,2.890371758,3.841600541,3.058707073,21.30000001,15.12669691
2012,62,Mali,1.44956734,3.440418095,3.148453361,4.261270434,2.459588842,11.7,43.17492444
2000,63,Mauritania,1.31846232,3.284663565,3.165475048,3.737669618,3.835141961,46.3,25.0762086
2012,63,Mauritania,1.395693602,3.449987546,3.642835516,4.037774211,3.589059119,36.20000001,43.12123478
2000,64,Mauritius,1.525433939,4.464758032,4.515245478,4.597138014,-2.302585093,0.1,146.2925535
2012,64,Mauritius,1.526744802,4.446174454,4.532599493,4.603168183,-2.302585093,0.1,432.4817029
2000,65,Mexico,1.500544911,4.262679877,4.313480092,4.484131858,2.509599262,12.3,322.0886503
2012,65,Mexico,1.516209937,4.347693956,4.427238977,4.55492897,0.875468737,2.399999999,633.0896948
2000,66,Moldova,1.49151595,4.467056884,4.286341385,4.443827036,-4.605170186,0.01,23.45363738
2012,66,Moldova,1.498774429,4.48863637,4.328098293,4.476199805,-2.302585093,0.1,242.6306315
2000,67,Mongolia,1.393938702,4.271095074,3.875359021,4.030694535,2.740840024,15.5,23.34566197
2012,67,Mongolia,1.424116155,4.364371699,4.058717385,4.154184563,2.370243741,10.69999999,184.7117497
2000,68,Morocco,1.472597646,4.201703081,4.158883083,4.360547603,3.18221184,24.09999999,53.46027491
2012,68,Morocco,1.490189013,4.321480135,4.325456283,4.437934267,2.32238772,10.2,178.7231796
2000,69,Mozambique,1.312650007,3.005682604,2.646174797,3.716008122,4.012772909,55.30000003,14.54027927
2012,69,Mozambique,1.364565236,3.144152279,2.985681938,3.914021008,3.711130063,40.9,32.38126824
2000,70,Myanmar,1.434776044,3.822098298,4.12552018,4.198704578,2.493205453,12.1,3.194748471
2012,70,Myanmar,1.478365123,4.072439727,4.374498368,4.385769621,1.504077397,4.500000001,23.66903777
2000,71,Namibia,1.473182499,3.370738174,3.310543013,4.363098625,4.056988776,57.80000002,125.9105566
2012,71,Namibia,1.501047623,3.761200116,3.499533282,4.48638665,3.916015027,50.20000002,467.8989328
2000,72,Nepal,1.469049529,3.799973502,3.077312261,4.345103281,4.163559631,64.29999998,12.20516831
2012,72,Nepal,1.50129846,4.087655574,3.716008122,4.487512143,3.63758616,38.00000001,38.41344056
2000,73,Nicaragua,1.474346728,4.050044303,3.996364154,4.368181228,2.778819272,16.1,54.78201672
2012,73,Nicaragua,1.49440189,4.294560609,4.201703081,4.456670178,2.079441542,8.000000003,143.1319091
2000,74,Niger,1.329022203,2.772588722,1.887069649,3.777348102,4.390738575,80.69999998,8.914404878
2012,74,Niger,1.393497545,3.206803244,2.312535424,4.028916757,4.30676415,74.19999999,23.16416045
2000,75,Nigeria,1.373054639,2.954910279,3.526360525,3.947390149,3.202746443,24.6,17.2219134
2012,75,Nigeria,1.430801591,3.186352633,3.39785848,4.182050143,3.214867803,24.89999999,90.38961749
2000,76,Pakistan,1.500293034,3.632309103,3.608211551,4.483002552,3.61361697,37.10000001,15.49824159
2012,76,Pakistan,1.506243937,3.921973336,4.065602093,4.509760001,2.884800713,17.9,33.4661349
2000,77,Panama,1.502796271,4.24563401,4.201703081,4.494238625,2.00148,7.399999998,297.8785646
2012,77,Panama,1.512948639,4.244200318,4.295923936,4.540098189,1.435084525,4.199999999,734.555438
2000,78,Papua New Guinea,1.269255117,3.532225644,2.954910279,3.55820113,2.667228207,14.40000001,25.94062428
2012,78,Papua New Guinea,1.30464395,3.740047741,2.939161922,3.686376324,2.442347035,11.5,97.87854742
2000,79,Paraguay,1.457666651,4.183575696,4.226833745,4.295923936,0.262364264,1.299999999,125.1964276
2012,79,Paraguay,1.512242052,4.276666119,4.447346101,4.536891345,-2.302585093,0.1,398.4377033
2000,80,Peru,1.476939929,4.027135813,4.141546164,4.379523504,3.044522438,21.00000001,94.97100011
2012,80,Peru,1.492570642,4.194189897,4.300002799,4.448516376,2.091864062,8.100000003,330.7528584
2000,81,Philippines,1.496729777,3.996364154,4.15575319,4.467056884,2.493205453,12.1,33.36568791
2012,81,Philippines,1.505999833,4.206184044,4.273884476,4.508659286,2.116255515,8.300000002,116.1882884
2000,82,Rwanda,1.43370021,2.944438979,3.841600541,4.194189897,1.589235205,4.899999999,9.128303177
2012,82,Rwanda,1.460499514,3.572345638,4.079230924,4.308110952,0.78845736,2.199999999,51.24153912
2000,83,Senegal,1.437615847,3.186352633,3.696351469,4.210645018,3.321432413,27.69999999,21.98009293
2012,83,Senegal,1.466646161,3.532225644,3.83081295,4.334672938,2.797281335,16.4,43.94271386
2000,84,Sierra Leone,1.349213768,3.122364924,2.424802726,3.854393893,3.072693315,21.60000001,21.34722558
2012,84,Sierra Leone,1.407560699,3.254242969,2.549445171,4.085976313,3.144152279,23.20000001,70.44623023
2000,85,Solomon Islands,1.476653575,3.918005077,3.238678452,4.378269586,4.050044303,57.39999998,48.12268411
2012,85,Solomon Islands,1.478932151,4.094344562,3.363841595,4.388257184,3.998200702,54.50000002,102.3023556
2000,86,South Africa,1.495181145,3.671224519,4.046553898,4.460144414,2.302585093,10,245.0572822
2012,86,South Africa,1.508907618,3.770459441,4.169761202,4.521788577,1.568615918,4.8,661.4339654
2000,87,Sri Lanka,1.476653575,4.172847624,4.396915247,4.378269586,1.987874348,7.299999999,32.8218602
2012,87,Sri Lanka,1.512005907,4.320151231,4.541164856,4.535820108,-1.609437912,0.2,93.34437378
2000,88,Sudan,1.417583313,3.242592351,3.234749174,4.127134385,3.730501129,41.70000001,15.03872204
2012,88,Sudan,1.390381752,3.523415014,3.157000421,4.016383021,3.835141961,46.3,112.6487078
2000,89,Suriname,1.502298368,4.15575319,4.393213824,4.492001488,2.028148247,7.599999998,178.7632061
2012,89,Suriname,1.515516038,4.225372825,4.373238129,4.551769409,1.840549633,6.299999997,577.3534766
2000,90,Swaziland,1.373543106,3.214867803,3.947390149,3.94931879,3.139832618,23.10000001,75.31834631
2012,90,Swaziland,1.460186845,3.325036021,4.051784948,4.30676415,2.63188884,13.9,267.4128434
2000,91,Tajikistan,1.407971596,3.975936331,4.504244267,4.087655574,0.336472237,1.400000001,7.228177639
2012,91,Tajikistan,1.452196971,4.130355,4.547541073,4.272490748,-1.609437912,0.2,61.18867069
2000,92,Tanzania,1.385384986,3.015534901,2.2300144,3.996364154,2.351375257,10.5,10.11583608
2012,92,Tanzania,1.389932633,3.421000009,2.63905733,4.014579594,2.4765384,11.9,45.64167972
2000,93,Thailand,1.508667077,4.100989105,4.514150788,4.520701029,1.029619417,2.799999999,74.22852023
2012,93,Thailand,1.520768735,4.259859001,4.534747722,4.575741375,-4.605170186,0.01,335.5685304
2000,94,Togo,1.381670957,3.186352633,2.433613355,3.981549068,4.046553898,57.19999998,11.52425748
2012,94,Togo,1.414034001,3.39785848,2.442347035,4.112511866,3.968403339,52.90000001,29.66658105
2000,95,Tunisia,1.503788008,4.348986781,4.405498991,4.498697941,2.424802726,11.3,119.4624254
2012,95,Tunisia,1.520318027,4.410371108,4.50313746,4.573679519,0.693147181,2.000000001,297.7427114
2000,96,Uganda,1.394378883,2.803360381,2.747270914,4.032469159,2.674148649,14.49999999,19.02343214
2012,96,Uganda,1.465128252,3.303216973,2.917770732,4.328098293,2.104134154,8.199999998,52.79119207
2000,97,Ukraine,1.521890572,4.461299816,4.550714,4.580877493,-2.302585093,0.1,35.84445529
2012,97,Ukraine,1.519413202,4.494238625,4.562262685,4.569543008,-4.605170186,0.01,289.7057492
