Year,id,Country Name,lnGNI,lnNCDs,lnSFI,lnOPhE,lnIWR,GNI,,,,,,,,,,,,,,,,OPHE,lnGNI,OD,IWR,5.478607144
2000,46,Haiti,5.480638923,3.580737295,3.044522438,3.91965342,4.107589789,239.9999999,,,,,,,,,,,,,,,,50.38298,5.480638923,37.8,60.8,4.334456885
2012,46,Haiti,6.620073207,3.873282177,3.284663565,3.325805509,4.069026754,750.0000004,,,,,,,,,,,,,,,,27.8214,6.620073207,21.4,58.5,5.456320163
2000,47,Honduras,6.82437367,3.906004933,4.147885329,3.772051261,4.391976966,920,,,,,,,,,,,,,,,,43.46914,6.82437367,20.4,80.8,2.975994144
2012,47,Honduras,7.696212639,4.107589789,4.382026635,3.896991801,4.492001488,2199.999999,,,,,,,,,,,,,,,,49.25406,7.696212639,6.8,89.3,4.173255237
2000,48,India,6.109247583,3.879499814,3.242592351,4.217374697,4.38949865,450.0000001,,,,,,,,,,,,,,,,67.85511,6.109247583,63.3,80.6,2.736496042
2012,48,India,7.313220387,4.091005661,3.624340933,4.172599365,4.523960131,1500,,,,,,,,,,,,,,,,64.88389,7.313220387,47.3,92.2,4.675035528
2000,49,Indonesia,6.327936784,4.119037175,3.852273001,3.829527743,4.355425953,560.0000002,,,,,,,,,,,,,,,,46.04079,6.327936784,30.6,77.9,5.435902041
2012,49,Indonesia,8.183118079,4.266896327,4.074141855,3.814369602,4.450852826,3579.999999,,,,,,,,,,,,,,,,45.34816,8.183118079,21.9,85.7,6.235572475
2000,50,"Iran, Islamic Rep.",7.473069088,4.244200318,4.368181228,4.028269929,4.544358047,1760,,,,,,,,,,,,,,,,56.16366,7.473069088,0.7,94.1,5.298038934
2012,50,"Iran, Islamic Rep.",8.85509298,4.335982696,4.49535532,3.912262377,4.564348191,7010,,,,,,,,,,,,,,,,50.01197,8.85509298,0.2,96,5.713471096
2000,51,Jamaica,8.098642844,4.238444906,4.390738575,3.366265299,4.537961436,3290.000001,,,,,,,,,,,,,,,,28.97013,8.098642844,0.8,93.5,5.14364318
2012,51,Jamaica,8.564076777,4.368181228,4.403054002,3.221391059,4.541164856,5239.999998,,,,,,,,,,,,,,,,25.06296,8.564076777,0.8,93.8,5.869454762
2000,52,Jordan,7.495541944,4.252771799,4.582924577,3.662571412,4.572646994,1800,,,,,,,,,,,,,,,,38.9614,7.495541944,0.6,96.8,3.928160758
2012,52,Jordan,8.345217927,4.325456283,4.591071262,3.070682962,4.573679519,4210.000001,,,,,,,,,,,,,,,,21.55662,8.345217927,0.01,96.9,6.256977815
2000,53,Kazakhstan,7.138867,4.355425953,4.572646994,3.881779857,4.541164856,1260,,,,,,,,,,,,,,,,48.51048,7.138867,0.5,93.8,2.952383066
2012,53,Kazakhstan,9.232101864,4.42604352,4.579852378,3.777122676,4.533674184,10220,,,,,,,,,,,,,,,,43.69015,9.232101864,0.01,93.1,4.1752883
2000,54,Kenya,6.040254711,2.850706502,3.292126287,3.765859477,3.947390149,419.9999999,,,,,,,,,,,,,,,,43.20082,6.040254711,16,51.8,2.557967025
2012,54,Kenya,6.993932975,3.280911216,3.387774361,3.27942515,4.120661871,1090,,,,,,,,,,,,,,,,26.5605,6.993932975,12.6,61.6,4.402575374
2000,55,Kyrgyz Republic,5.634789603,4.314817885,4.519612298,3.907136888,4.361823927,280,,,,,,,,,,,,,,,,49.75629,5.634789603,0.2,78.4,6.361354038
2012,55,Kyrgyz Republic,6.946975992,4.382026635,4.532599493,3.56161098,4.472780998,1040,,,,,,,,,,,,,,,,35.21989,6.946975992,0.01,87.6,6.439488416
2000,56,Lebanon,8.607033895,4.396915247,4.415219602,4.040482709,4.450852826,5469.999998,,,,,,,,,,,,,,,,56.85378,8.607033895,0.01,85.7,3.35796633
2012,56,Lebanon,9.046644279,4.441474093,4.390738575,3.619951581,4.59511985,8489.999997,,,,,,,,,,,,,,,,37.33576,9.046644279,0.2,99,4.860966709
2000,57,Lesotho,6.363028104,3.206803244,3.173878459,3.566579325,4.369447852,580.0000003,,,,,,,,,,,,,,,,35.39531,6.363028104,45.9,79,2.381180178
2012,57,Lesotho,7.286191715,3.288401888,3.377587516,2.815694906,4.396915247,1460,,,,,,,,,,,,,,,,16.70478,7.286191715,34.6,81.2,3.74124268
2000,58,Liberia,5.010635294,3.117949906,2.57261223,3.637791928,4.133565275,150,,,,,,,,,,,,,,,,38.00782,5.010635294,47.1,62.4,2.526738614
2012,58,Liberia,5.828945618,3.529297384,2.778819272,3.399164316,4.289088639,340.0000001,,,,,,,,,,,,,,,,29.93907,5.828945618,47.6,72.9,2.732990479
2000,59,Madagascar,5.521460918,3.437207819,2.332143895,3.631969098,3.63758616,250,,,,,,,,,,,,,,,,37.78715,5.521460918,47,38,2.2465029
2012,59,Madagascar,6.063785209,3.671224519,2.451005098,3.642384629,3.88567903,430.0000001,,,,,,,,,,,,,,,,38.18278,6.063785209,41.3,48.7,3.483119846
2000,60,Malawi,5.075173815,2.734367509,3.535145354,3.088579423,4.135166557,160,,,,,,,,,,,,,,,,21.94588,5.075173815,18.8,62.5,4.800890578
2012,60,Malawi,6.109247583,3.325036021,3.681351188,2.326323104,4.439115602,450.0000001,,,,,,,,,,,,,,,,10.24022,6.109247583,7.1,84.7,6.043843801
2000,61,Malaysia,8.13739583,4.271095074,4.513054897,3.518960269,4.544358047,3420,,,,,,,,,,,,,,,,33.74932,8.13739583,2,94.1,2.71646119
2012,61,Malaysia,9.230142999,4.290459441,4.563305982,3.552781342,4.58394655,10200,,,,,,,,,,,,,,,,34.91028,9.230142999,0.01,97.9,3.765259874
2000,62,Mali,5.634789603,3.226843995,2.890371758,4.197233225,3.841600541,280,,,,,,,,,,,,,,,,66.50208,5.634789603,21.3,46.6,3.221919532
2012,62,Mali,6.672032945,3.440418095,3.148453361,3.901584716,4.261270434,789.9999996,,,,,,,,,,,,,,,,49.4808,6.672032945,11.7,70.9,3.764015562
2000,63,Mauritania,6.234410726,3.284663565,3.165475048,3.801747766,3.737669618,510.0000001,,,,,,,,,,,,,,,,44.77938,6.234410726,46.3,42,4.985608408
2012,63,Mauritania,7.192934221,3.449987546,3.642835516,3.794353263,4.037774211,1330,,,,,,,,,,,,,,,,44.44948,7.192934221,36.2,56.7,6.06954002
2000,64,Mauritius,8.261009786,4.464758032,4.515245478,3.577515118,4.597138014,3870,,,,,,,,,,,,,,,,35.78451,8.261009786,0.1,99.2,5.774826819
2012,64,Mauritius,9.106090351,4.446174454,4.532599493,3.857135893,4.603168183,9010.000004,,,,,,,,,,,,,,,,47.3296,9.106090351,0.1,99.8,6.45061211
2000,65,Mexico,8.656955134,4.262679877,4.313480092,3.930685375,4.484131858,5750.000001,,,,,,,,,,,,,,,,50.94188,8.656955134,12.3,88.6,3.155025595
2012,65,Mexico,9.187071745,4.347693956,4.427238977,3.806557818,4.55492897,9770,,,,,,,,,,,,,,,,44.99529,9.187071745,2.4,95.1,5.491540252
2000,66,Moldova,5.913503006,4.467056884,4.286341385,3.758403884,4.443827036,370.0000001,,,,,,,,,,,,,,,,42.87993,5.913503006,0.01,85.1,3.150411184
2012,66,Moldova,7.668561108,4.48863637,4.328098293,3.80048724,4.476199805,2140,,,,,,,,,,,,,,,,44.72297,7.668561108,0.1,87.9,5.2187965
2000,67,Mongolia,6.152732695,4.271095074,3.875359021,2.810672371,4.030694535,470.0000001,,,,,,,,,,,,,,,,16.62109,6.152732695,15.5,56.3,3.978938853
2012,67,Mongolia,8.207946941,4.364371699,4.058717385,3.767838267,4.154184563,3670,,,,,,,,,,,,,,,,43.28639,8.207946941,10.7,63.7,5.185838126
2000,68,Morocco,7.229838778,4.201703081,4.158883083,3.98991861,4.360547603,1380,,,,,,,,,,,,,,,,54.05049,7.229838778,24.1,78.3,2.676922679
